"","common_name","sci_name","year","route_num","mbbs_county","count","Percent_change_from_previous_year"
"15216","Blue-gray Gnatcatcher","Polioptila caerulea",2001,11,"orange",4,-42.8571428571429
"15217","Blue-gray Gnatcatcher","Polioptila caerulea",2002,1,"orange",3,-25
"15218","Blue-gray Gnatcatcher","Polioptila caerulea",2002,3,"orange",5,66.6666666666667
"15219","Blue-gray Gnatcatcher","Polioptila caerulea",2002,4,"orange",3,-40
"15220","Blue-gray Gnatcatcher","Polioptila caerulea",2002,5,"orange",4,33.3333333333333
"15221","Blue-gray Gnatcatcher","Polioptila caerulea",2002,6,"orange",2,-50
"15222","Blue-gray Gnatcatcher","Polioptila caerulea",2002,7,"orange",1,-50
"15223","Blue-gray Gnatcatcher","Polioptila caerulea",2002,9,"orange",11,1000
"15224","Blue-gray Gnatcatcher","Polioptila caerulea",2002,10,"orange",1,-90.9090909090909
"15225","Blue-gray Gnatcatcher","Polioptila caerulea",2002,11,"orange",1,0
"15226","Blue-gray Gnatcatcher","Polioptila caerulea",2003,1,"orange",11,1000
"15227","Blue-gray Gnatcatcher","Polioptila caerulea",2003,3,"orange",5,-54.5454545454545
"15228","Blue-gray Gnatcatcher","Polioptila caerulea",2003,4,"orange",8,60
"15229","Blue-gray Gnatcatcher","Polioptila caerulea",2003,5,"orange",9,12.5
"15230","Blue-gray Gnatcatcher","Polioptila caerulea",2003,6,"orange",1,-88.8888888888889
"15231","Blue-gray Gnatcatcher","Polioptila caerulea",2003,10,"orange",15,1400
"15232","Blue-gray Gnatcatcher","Polioptila caerulea",2003,11,"orange",2,-86.6666666666667
"15233","Blue-gray Gnatcatcher","Polioptila caerulea",2004,1,"orange",13,550
"15234","Blue-gray Gnatcatcher","Polioptila caerulea",2004,3,"orange",6,-53.8461538461538
"15235","Blue-gray Gnatcatcher","Polioptila caerulea",2004,4,"orange",8,33.3333333333333
"15236","Blue-gray Gnatcatcher","Polioptila caerulea",2004,5,"orange",13,62.5
"15237","Blue-gray Gnatcatcher","Polioptila caerulea",2004,6,"orange",7,-46.1538461538462
"15238","Blue-gray Gnatcatcher","Polioptila caerulea",2004,7,"orange",2,-71.4285714285714
"15239","Blue-gray Gnatcatcher","Polioptila caerulea",2004,9,"orange",6,200
"15240","Blue-gray Gnatcatcher","Polioptila caerulea",2004,10,"orange",19,216.666666666667
"15241","Blue-gray Gnatcatcher","Polioptila caerulea",2004,11,"orange",2,-89.4736842105263
"15242","Blue-gray Gnatcatcher","Polioptila caerulea",2005,1,"orange",7,250
"15243","Blue-gray Gnatcatcher","Polioptila caerulea",2005,3,"orange",2,-71.4285714285714
"15244","Blue-gray Gnatcatcher","Polioptila caerulea",2005,4,"orange",2,0
"15245","Blue-gray Gnatcatcher","Polioptila caerulea",2005,5,"orange",6,200
"15246","Blue-gray Gnatcatcher","Polioptila caerulea",2005,6,"orange",1,-83.3333333333333
"15247","Blue-gray Gnatcatcher","Polioptila caerulea",2005,7,"orange",1,0
"15248","Blue-gray Gnatcatcher","Polioptila caerulea",2005,9,"orange",8,700
"15249","Blue-gray Gnatcatcher","Polioptila caerulea",2005,10,"orange",18,125
"15250","Blue-gray Gnatcatcher","Polioptila caerulea",2005,11,"orange",3,-83.3333333333333
"15251","Blue-gray Gnatcatcher","Polioptila caerulea",2006,3,"orange",3,0
"15252","Blue-gray Gnatcatcher","Polioptila caerulea",2006,4,"orange",6,100
"15253","Blue-gray Gnatcatcher","Polioptila caerulea",2006,5,"orange",9,50
"15254","Blue-gray Gnatcatcher","Polioptila caerulea",2006,6,"orange",3,-66.6666666666667
"15255","Blue-gray Gnatcatcher","Polioptila caerulea",2006,7,"orange",2,-33.3333333333333
"15256","Blue-gray Gnatcatcher","Polioptila caerulea",2006,9,"orange",3,50
"15257","Blue-gray Gnatcatcher","Polioptila caerulea",2006,10,"orange",13,333.333333333333
"15258","Blue-gray Gnatcatcher","Polioptila caerulea",2006,11,"orange",13,0
"15259","Blue-gray Gnatcatcher","Polioptila caerulea",2006,12,"orange",1,-92.3076923076923
"15260","Blue-gray Gnatcatcher","Polioptila caerulea",2007,1,"orange",1,0
"15261","Blue-gray Gnatcatcher","Polioptila caerulea",2007,3,"orange",7,600
"15262","Blue-gray Gnatcatcher","Polioptila caerulea",2007,4,"orange",7,0
"15263","Blue-gray Gnatcatcher","Polioptila caerulea",2007,5,"orange",7,0
"15264","Blue-gray Gnatcatcher","Polioptila caerulea",2007,6,"orange",9,28.5714285714286
"15265","Blue-gray Gnatcatcher","Polioptila caerulea",2007,9,"orange",6,-33.3333333333333
"15266","Blue-gray Gnatcatcher","Polioptila caerulea",2007,10,"orange",11,83.3333333333333
"15267","Blue-gray Gnatcatcher","Polioptila caerulea",2007,11,"orange",4,-63.6363636363636
"15268","Blue-gray Gnatcatcher","Polioptila caerulea",2007,12,"orange",2,-50
"15269","Blue-gray Gnatcatcher","Polioptila caerulea",2008,3,"orange",8,300
"15270","Blue-gray Gnatcatcher","Polioptila caerulea",2008,4,"orange",5,-37.5
"15271","Blue-gray Gnatcatcher","Polioptila caerulea",2008,5,"orange",12,140
"15272","Blue-gray Gnatcatcher","Polioptila caerulea",2008,6,"orange",3,-75
